Data;Abertura;Maximo;Minimo;Fechamento;Volume;Quantidade
01/07/2020;5.472,50;5.482,00;5.305,50;5.324,50;75482557375,00;281.190
30/06/2020;5.430,00;5.513,50;5.410,50;5.463,00;89629807125,00;327.865
29/06/2020;5.457,98;5.470,98;5.388,01;5.407,00;73502699375,00;270.445
26/06/2020;5.379,51;5.491,47;5.366,52;5.482,97;91547204625,00;335.750
25/06/2020;5.380,01;5.386,01;5.266,05;5.354,52;92693603500,00;347.475
24/06/2020;5.178,09;5.353,02;5.164,09;5.347,52;87852063125,00;333.335
23/06/2020;5.206,07;5.226,57;5.133,60;5.152,09;71958794875,00;278.340
22/06/2020;5.293,04;5.298,04;5.198,58;5.252,56;68852505000,00;262.685
19/06/2020;5.328,03;5.381,51;5.289,04;5.316,53;93886289125,00;351.360
18/06/2020;5.307,04;5.389,01;5.293,04;5.382,01;82695481875,00;309.025
17/06/2020;5.223,07;5.273,55;5.183,58;5.230,07;78373528375,00;298.950
16/06/2020;5.117,61;5.256,06;5.050,13;5.246,56;97056579625,00;376.620
15/06/2020;5.137,60;5.227,57;5.081,12;5.159,59;93986292250,00;363.775
12/06/2020;5.091,12;5.114,61;5.004,15;5.054,13;96517348875,00;381.880
10/06/2020;4.858,20;4.981,16;4.840,21;4.978,16;98008923500,00;399.545
09/06/2020;4.873,20;4.944,17;4.856,20;4.903,19;75629924000,00;308.575
08/06/2020;4.968,16;4.980,16;4.821,72;4.826,22;78557837875,00;319.840
05/06/2020;5.064,63;5.083,62;4.938,17;4.970,66;95301476250,00;381.600
04/06/2020;5.062,63;5.146,60;5.029,64;5.123,61;106429944500,00;416.585
03/06/2020;5.215,07;5.218,07;5.021,14;5.069,63;120458542875,00;473.900
02/06/2020;5.318,03;5.344,02;5.204,08;5.210,57;90112798375,00;343.050
01/06/2020;5.338,03;5.423,99;5.315,03;5.373,01;89917604875,00;334.490
29/05/2020;5.390,01;5.467,48;5.324,03;5.341,52;117247933500,00;433.810
28/05/2020;5.290,81;5.420,00;5.289,81;5.415,50;81255745375,00;304.280
27/05/2020;5.352,40;5.368,93;5.278,29;5.283,80;93547223875,00;352.850
26/05/2020;5.395,97;5.410,99;5.342,39;5.364,42;100272088500,00;373.615
25/05/2020;5.504,13;5.539,68;5.442,54;5.453,05;48887685000,00;178.525
22/05/2020;5.585,25;5.635,82;5.533,17;5.548,69;93114924625,00;333.905
21/05/2020;5.708,43;5.717,44;5.558,21;5.564,72;116064221500,00;414.560
20/05/2020;5.732,47;5.765,01;5.680,39;5.704,92;72668482375,00;254.780
19/05/2020;5.704,42;5.780,54;5.693,91;5.771,52;83751383125,00;292.360
18/05/2020;5.796,56;5.817,59;5.706,93;5.734,47;79005647625,00;275.300
15/05/2020;5.876,68;5.890,70;5.773,03;5.869,67;85009901875,00;291.685
14/05/2020;5.936,77;5.986,34;5.817,09;5.833,11;117853653625,00;399.345
13/05/2020;5.838,12;5.959,30;5.832,61;5.903,72;94499723375,00;319.910
12/05/2020;5.813,59;5.910,23;5.757,50;5.900,71;85757877875,00;294.840
11/05/2020;5.798,56;5.856,65;5.780,54;5.833,61;79220659750,00;272.745
08/05/2020;5.812,08;5.844,13;5.733,47;5.759,00;83608717125,00;289.760
07/05/2020;5.788,55;5.893,20;5.759,51;5.854,65;121046410250,00;414.735
06/05/2020;5.614,29;5.739,98;5.614,29;5.737,47;65438886250,00;230.300
05/05/2020;5.546,19;5.622,30;5.499,62;5.598,27;77028185875,00;277.085
04/05/2020;5.627,31;5.636,82;5.537,18;5.564,72;75266769000,00;269.980
30/04/2020;5.367,43;5.507,13;5.347,40;5.503,63;106443698625,00;391.650
29/04/2020;5.476,78;5.544,98;5.350,90;5.351,40;107096590375,00;395.395
28/04/2020;5.626,72;5.640,76;5.488,81;5.512,38;117080436500,00;421.680
27/04/2020;5.558,52;5.745,57;5.551,50;5.673,86;125565971375,00;444.320
24/04/2020;5.574,57;5.768,64;5.573,56;5.602,65;161800740500,00;571.240
23/04/2020;5.471,26;5.576,57;5.420,61;5.554,51;136332275125,00;498.315
22/04/2020;5.340,87;5.483,29;5.321,31;5.480,29;98899136500,00;366.825
20/04/2020;5.305,77;5.339,37;5.284,20;5.337,36;61686469125,00;232.765
